ID_PRODUTO	DATA_EVENTO	PRECO	QUANTIDADE_ESTOQUE
4	2024-01-31	11.0	71
5	2024-01-31	10.69	70
6	2024-01-31	13.17	56
7	2024-01-31	11.16	37
8	2024-01-31	12.12	23
9	2024-01-31	12.78	6
10	2024-01-31	13.23	100
11	2024-01-31	11.35	90
12	2024-01-31	11.43	87
13	2024-01-31	10.8	72
14	2024-01-31	11.49	61
15	2024-01-31	12.87	43
16	2024-01-31	14.1	24
17	2024-01-31	14.81	12
18	2024-01-31	13.73	100
19	2024-01-31	14.26	99
20	2024-01-31	10.86	88
21	2024-01-31	11.9	69
22	2024-01-31	13.24	65
23	2024-01-31	12.78	64
24	2024-01-31	14.93	52
25	2024-01-31	11.11	34
1	2024-02-01	12.0	23
2	2024-02-01	13.59	10
3	2024-02-01	12.29	100
4	2024-02-01	12.07	93
5	2024-02-01	11.35	87
6	2024-02-01	12.46	82
7	2024-02-01	13.98	80
8	2024-02-01	12.65	71
9	2024-02-01	12.89	66
10	2024-02-01	14.61	47
11	2024-02-01	13.58	40
12	2024-02-01	12.94	23
13	2024-02-01	13.01	14
14	2024-02-01	12.1	100
15	2024-02-01	13.21	96
16	2024-02-01	13.04	87
17	2024-02-01	13.46	68
18	2024-02-01	10.54	66
19	2024-02-01	12.26	55
20	2024-02-01	10.23	42
21	2024-02-01	10.98	28
22	2024-02-01	13.2	23
23	2024-02-01	13.74	16
24	2024-02-01	11.7	5
25	2024-02-01	13.6	100
1	2024-02-02	13.6	89
2	2024-02-02	14.42	85
3	2024-02-02	13.28	79
4	2024-02-02	11.83	60
5	2024-02-02	12.07	55
6	2024-02-02	10.88	45
7	2024-02-02	14.49	35
8	2024-02-02	12.99	19
9	2024-02-02	14.81	12
10	2024-02-02	10.17	100
11	2024-02-02	10.73	90
12	2024-02-02	10.57	71
13	2024-02-02	13.89	69
14	2024-02-02	13.29	67
15	2024-02-02	10.39	52
16	2024-02-02	12.39	49
17	2024-02-02	10.23	40
18	2024-02-02	13.02	22
19	2024-02-02	10.25	21
20	2024-02-02	12.6	14
21	2024-02-02	12.97	13
22	2024-02-02	10.08	4
23	2024-02-02	14.08	100
24	2024-02-02	10.58	82
25	2024-02-02	10.63	68
1	2024-02-03	11.83	50
2	2024-02-03	12.85	38
3	2024-02-03	11.83	32
4	2024-02-03	10.77	15
5	2024-02-03	11.02	100
6	2024-02-03	10.76	91
7	2024-02-03	13.48	83
8	2024-02-03	10.25	74
9	2024-02-03	12.11	70
10	2024-02-03	10.65	68
11	2024-02-03	10.8	49
12	2024-02-03	13.79	45
13	2024-02-03	13.33	38
14	2024-02-03	11.83	20
15	2024-02-03	14.98	11
16	2024-02-03	10.32	100
17	2024-02-03	10.36	96
18	2024-02-03	11.03	79
19	2024-02-03	13.22	71
20	2024-02-03	13.13	69
21	2024-02-03	11.1	65
22	2024-02-03	11.35	61
23	2024-02-03	10.42	59
24	2024-02-03	12.72	52
25	2024-02-03	13.69	35
1	2024-02-04	10.55	32
2	2024-02-04	13.09	22
3	2024-02-04	14.0	19
4	2024-02-04	14.8	7
5	2024-02-04	12.12	1
6	2024-02-04	10.96	100
7	2024-02-04	13.09	90
8	2024-02-04	14.77	87
9	2024-02-04	14.96	84
10	2024-02-04	10.65	80
11	2024-02-04	14.31	66
12	2024-02-04	10.53	47
13	2024-02-04	14.44	43
14	2024-02-04	12.38	41
15	2024-02-04	10.08	38
16	2024-02-04	12.5	27
17	2024-02-04	13.27	8
18	2024-02-04	10.55	100
19	2024-02-04	10.22	86
20	2024-02-04	13.34	84
21	2024-02-04	11.88	75
22	2024-02-04	10.03	59
23	2024-02-04	14.8	50
24	2024-02-04	13.22	48
25	2024-02-04	11.02	35
1	2024-02-05	12.51	27
2	2024-02-05	12.45	25
3	2024-02-05	10.77	19
4	2024-02-05	11.48	5
5	2024-02-05	14.45	100
6	2024-02-05	10.46	81
7	2024-02-05	11.85	74
8	2024-02-05	11.97	60
9	2024-02-05	13.08	54
10	2024-02-05	12.12	52
11	2024-02-05	11.17	38
12	2024-02-05	13.74	21
13	2024-02-05	12.64	12
14	2024-02-05	13.58	100
