ID_PRODUTO	DIA	FLAG_PROMOCAO	QUANTIDADE_ESTOQUE
4	2024-01-11	0	31
5	2024-01-11	1	57
6	2024-01-11	0	0
7	2024-01-11	0	22
8	2024-01-11	0	32
9	2024-01-11	0	31
10	2024-01-11	0	16
11	2024-01-11	0	0
12	2024-01-11	0	23
13	2024-01-11	0	21
14	2024-01-11	0	25
15	2024-01-11	1	48
16	2024-01-11	0	59
17	2024-01-11	0	38
18	2024-01-11	0	24
19	2024-01-11	0	19
20	2024-01-11	0	21
21	2024-01-11	0	41
22	2024-01-11	0	4
23	2024-01-11	0	23
24	2024-01-11	0	8
25	2024-01-11	1	9
1	2024-01-12	0	34
2	2024-01-12	1	5
3	2024-01-12	0	5
4	2024-01-12	0	22
5	2024-01-12	0	57
6	2024-01-12	0	0
7	2024-01-12	0	22
8	2024-01-12	0	32
9	2024-01-12	0	31
10	2024-01-12	0	13
11	2024-01-12	0	0
12	2024-01-12	0	18
13	2024-01-12	1	18
14	2024-01-12	0	16
15	2024-01-12	0	39
16	2024-01-12	0	53
17	2024-01-12	1	38
18	2024-01-12	0	20
19	2024-01-12	0	17
20	2024-01-12	1	20
21	2024-01-12	0	34
22	2024-01-12	0	0
23	2024-01-12	0	21
24	2024-01-12	0	2
25	2024-01-12	0	9
1	2024-01-13	0	34
2	2024-01-13	1	0
3	2024-01-13	0	0
4	2024-01-13	0	22
5	2024-01-13	0	56
6	2024-01-13	0	0
7	2024-01-13	0	13
8	2024-01-13	0	23
9	2024-01-13	0	25
10	2024-01-13	0	5
11	2024-01-13	0	0
12	2024-01-13	0	9
13	2024-01-13	0	10
14	2024-01-13	0	8
15	2024-01-13	0	37
16	2024-01-13	0	50
17	2024-01-13	0	34
18	2024-01-13	0	11
19	2024-01-13	0	10
20	2024-01-13	0	16
21	2024-01-13	0	29
22	2024-01-13	1	0
23	2024-01-13	0	18
24	2024-01-13	0	0
25	2024-01-13	1	4
1	2024-01-14	0	27
2	2024-01-14	0	0
3	2024-01-14	0	0
4	2024-01-14	0	13
5	2024-01-14	0	49
6	2024-01-14	0	0
7	2024-01-14	0	12
8	2024-01-14	0	14
9	2024-01-14	0	21
10	2024-01-14	0	0
11	2024-01-14	0	0
12	2024-01-14	0	7
13	2024-01-14	0	8
14	2024-01-14	0	2
15	2024-01-14	0	35
16	2024-01-14	0	46
17	2024-01-14	0	27
18	2024-01-14	1	9
19	2024-01-14	0	2
20	2024-01-14	0	8
21	2024-01-14	0	27
22	2024-01-14	1	0
23	2024-01-14	0	16
24	2024-01-14	0	0
25	2024-01-14	0	0
1	2024-01-15	0	23
2	2024-01-15	0	0
3	2024-01-15	0	0
4	2024-01-15	0	6
5	2024-01-15	0	40
6	2024-01-15	0	0
7	2024-01-15	1	5
8	2024-01-15	0	5
9	2024-01-15	1	21
10	2024-01-15	0	0
11	2024-01-15	0	0
12	2024-01-15	1	7
13	2024-01-15	0	1
14	2024-01-15	0	2
15	2024-01-15	0	32
16	2024-01-15	0	43
17	2024-01-15	1	20
18	2024-01-15	0	5
19	2024-01-15	0	0
20	2024-01-15	0	2
21	2024-01-15	1	27
22	2024-01-15	0	0
23	2024-01-15	0	13
24	2024-01-15	1	0
25	2024-01-15	0	0
1	2024-01-16	0	22
2	2024-01-16	0	0
3	2024-01-16	0	0
4	2024-01-16	0	5
5	2024-01-16	0	37
6	2024-01-16	0	0
7	2024-01-16	0	0
8	2024-01-16	0	0
9	2024-01-16	0	13
10	2024-01-16	0	0
11	2024-01-16	0	0
12	2024-01-16	0	4
13	2024-01-16	0	0
14	2024-01-16	0	0
15	2024-01-16	0	32
16	2024-01-16	1	40
17	2024-01-16	0	12
18	2024-01-16	1	0
19	2024-01-16	1	0
20	2024-01-16	0	0
21	2024-01-16	0	26
22	2024-01-16	0	0
23	2024-01-16	0	10
